Index,Chunk
413,"- 74 -
（四）天月德本身遭克，不以吉论。驿马
驿马之构成
亥卯未年逢巳，寅午戌年逢申，申子辰年逢寅，巳酉丑年逢亥。驿马之影响
（一）命中吉神为马，大则超迁之喜，小则顺动之利。（二）命中凶神为马，大则奔蹶之患，小则驰逐之劳。（三）驿马逢冲，譬之加鞭，吉则愈吉，凶则愈凶。（四）驿马逢合，等于系足，吉凶皆为羁绊而迟发。（五）日干坐马，栗六多动。贵人
贵人之构成
甲日见丑或见未，乙日见子或见申，丙日见酉或见亥，丁日见酉或见亥，戊
日见丑或见未，己日见子或见申，庚日见丑或见未，辛日见寅或见午，壬日见卯
或见巳，癸日见卯或见巳。"
414,"贵人之吉
（一）助吉解凶
（二）聪明
（三）易得人之信仰及互助
贵人所忌
（一）忌冲或合
（二）忌落旬空
文昌
文昌之构成
甲日见巳，乙日见午，丙日见申，丁日见酉，戊日见申，己日见酉，
庚日见亥，辛日见子，壬日见寅，癸日见卯，
文昌之吉
（一）逢凶化吉
（二）智慧聪明过人
（三）文采风流
文昌所忌
（一）忌冲或合
（二）忌落旬空
旬空
旬空之构成
甲子、乙丑、丙寅、丁卯、戊辰、己巳、庚午、辛未、壬申、癸酉、此十天
为甲子旬。凡生此十日，地支见戌或见亥，戌亥皆属旬空。甲戌、乙亥、丙子、丁丑、戊寅、己卯、庚辰、辛巳、壬午、癸未、此十天
为甲戌旬。凡生此十日，地支见申或见酉，申酉皆属旬空 。"
415,"甲戌、乙亥、丙子、丁丑、戊寅、己卯、庚辰、辛巳、壬午、癸未、此十天
为甲戌旬。凡生此十日，地支见申或见酉，申酉皆属旬空 。甲申、乙酉、丙戌、丁亥、戊子、己丑、庚寅、辛卯、壬辰、癸巳，此十天
为甲申旬。凡生此十日，地支见午或见未，午未皆属旬空。- 75 -
甲午、乙未、丙甲、丁酉、戊戌、己亥、庚子、辛丑、壬寅、癸卯、此十天
为甲午旬。凡生此十日，地支见辰或见巳，辰巳皆属旬空。甲辰、乙巳、丙午、丁未、戊申、己酉、庚戌、辛亥、壬子、癸丑、此十天
为甲辰旬。凡生此十日，地支见寅或见卯，寅卯皆属旬空。甲寅、乙卯、丙辰、下巳、戊午、乙未、庚申、辛酉、壬戌、癸亥，此十天
为甲寅旬。"
416,"凡生此十日，地支见寅或见卯，寅卯皆属旬空。甲寅、乙卯、丙辰、下巳、戊午、乙未、庚申、辛酉、壬戌、癸亥，此十天
为甲寅旬。凡生此十日，地支见子或见丑，子丑皆属旬空。旬空构成之理由
十天干，配十二地支，凡经十日，必有二支遗空。如甲子日至癸酉日，戌亥
二支，未在其内。故甲子旬中戌亥为旬空。余可类推。旬空之影响
（一）旬空逢冲，则冲力减轻。（二）旬空逢刑，则刑力减轻。（三）旬空逢合，则合力减轻。（四）旬空逢害，则害力减轻。（五）吉神为旬空，其吉虚而不实。（六）凶神为旬空，其凶虚而不实。（七）吉运或吉年为旬空，则吉力减轻。（八）凶运或凶年为旬空，则凶力减轻。"
417,"（七）吉运或吉年为旬空，则吉力减轻。（八）凶运或凶年为旬空，则凶力减轻。第二十一节
官杀并见
官杀并见之影响
（一）日主喜克官杀并见吉力加增。（二）日主忌克官杀并见凶力更显。（三）应用正官，见杀混杂八字不清主多磨折。（四）应用七杀见官混杂命局淆乱亦主奔波。（五）用官而杀混幸有去杀之神凶而不凶。（六）用杀而官混幸有去官之神凶而不凶。（七）用官而杀混并无去杀之神凶不可免。（八）用杀而官混并无去官之神亦以凶论。官杀并见之喜忌
（一）身弱有印喜官杀并见。（二）身强有财喜官杀并见。（三）身弱无印忌官杀并见。（四）身强有伤食而无财忌官杀并见。（五）八字忌官幸有伤官之制忌又见七杀。"
418,"（四）身强有伤食而无财忌官杀并见。（五）八字忌官幸有伤官之制忌又见七杀。（六）八字忌杀幸有食神之制忌又见正官。官杀并见之去留
（一）官杀并见嫌其有混杂者，先谋去之之道。一者即去一者留亦。（二）官杀并见爱其互相协助者不必议去留，顺其自然可也。（三）官杀并见只有食神去杀留官。（四）官杀并见只有伤官去官留杀。（五）官杀并见食伤也并见官杀皆可去净。（六）如甲日并见辛官庚杀又有丙火合辛是为合官留杀，合者绊也。（七）如甲日而透庚金七杀又支见酉金是七杀乘旺。不做官杀混杂不必议其
- 76 -
去留。"
419,"（七）如甲日而透庚金七杀又支见酉金是七杀乘旺。不做官杀混杂不必议其
- 76 -
去留。（八）甲乙日见申酉以巳去申或者以寅去申，以午去酉或者以卯去酉；丙丁
日见亥子以辰戌去亥或者以巳去亥，以丑未去子或者以午去子；戊己日见寅卯以
申去寅以酉去卯；庚辛日见巳午以亥去巳以子去午；壬癸日见辰戌丑未以寅去辰
戌以卯去丑未。（九）戊己日见寅卯又遇午戌则寅卯会午戌成火而丑未当权矣！（十）丙丁日见亥子而子随辰合而入库则亥当权矣！庚辛日见巳午若午随戌
合而入库则巳当权。戊己日见寅卯若卯随未合而入库则寅当权矣！甲乙日见申酉
若酉随丑合而入库则申当权。"
420,"戊己日见寅卯若卯随未合而入库则寅当权矣！甲乙日见申酉
若酉随丑合而入库则申当权。（十一）庚辛申酉丙见足可以去一甲一乙一寅一卯，也可以去甲寅乙卯；若
一庚一申一辛一酉去甲乙寅卯势必不能。（十二）官杀并见，伤官食神亦并见，伤官较为有力则去官，食神较为有力
则去杀。（十三）阴日伤官可以去官又可以合杀，贴近正官则以去官论，贴近七杀则
以合杀论。阳日食神可以去杀又可以合官；贴近七杀可以去杀，贴近正官可以合
官。阳日伤官只可去官不能合杀。第二十二节
燥湿
大抵命局亢燥，则喜润泽。命局潮湿，则喜暄燠。八字无水或少水，值于夏
令，或多木多火，乃亢燥之局。若命中喜土，逢燥土则益燥，未必佳妙。"
421,"八字无水或少水，值于夏
令，或多木多火，乃亢燥之局。若命中喜土，逢燥土则益燥，未必佳妙。逢湿土
则得滋，吉上加吉矣。八字无火或火少，时在冬令，或多金多水，乃潮湿之局，
如命中喜土，逢温土则更湿，未必言吉。逢燥土则去湿，花添锦上矣。天干五行，
无分燥湿，地支则昭然有别。今请一一言之，亦学命所不可不知也。子、卯、酉、
为纯金纯水纯木，亦无燥湿之分。丑中己辛，为湿土湿金，因有癸水藏也。寅中
甲戊，为燥木燥土，因有丙火藏也。辰中戊乙，为湿土湿木，因有癸水藏也。巳
中戊庚，燥土燥金，因有丙火藏也。午中之己，为燥土，因有丁火藏也。未中己
乙为燥土燥木，因有丁火藏也。申中庚戊，为湿金湿土，因有壬水藏也。"
422,"未中己
乙为燥土燥木，因有丁火藏也。申中庚戊，为湿金湿土，因有壬水藏也。戌中戊
辛，为燥土燥金，因藏有丁火也。亥中之甲，为湿木，因藏有壬水也。第二十三节
初学捷径
用之官星不可伤，不用官星尽可伤。用之财星不可劫，不用财星尽可劫。用之印绶不可坏，不用印绶尽可坏。用之食神不可夺，不用食神尽可夺。用之七杀不可制，制杀太过反为凶。身杀两停宜制杀，杀重身轻宜化杀。身强杀浅宜生杀。羊刃重重喜食伤，若逢官杀变生殃。财多身弱宜劫刃。劫重财轻喜食神。官旺身衰宜印地，官衰印旺利财缚。莫道枭神无用处，
杀多食重最为良。勿谓羊刃是凶物，财多杀党亦为贞。第二十四节 五行生克衰旺颠倒微妙
木本生火，木多火炽。"
423,"勿谓羊刃是凶物，财多杀党亦为贞。第二十四节 五行生克衰旺颠倒微妙
木本生火，木多火炽。有金克木，则可生火矣。火本生土，火多土焦。有水克火，则可生土矣。土本生金，土多金埋。有木克土，则可生金矣。金本生水，金多水弱。有火克金，则可生水矣。- 77 -
水本生木，水多木浮。有土克水，则可生木矣。木本生火，火多木焚。水克火则生木，火生土则存木也。火本生土，土重火熄。木克土则生火，土生金则存火也。土本生金，金多土泄。火克金则生土，金生水则存土也。金本生水，水泛金沉。土克水则生金，水生木则存金也。水本生木，木旺水涸。金克木则生水，木生火则存水也。木生火也，木火两旺，宜水以养木。"
424,"金克木则生水，木生火则存水也。木生火也，木火两旺，宜水以养木。火生土也，火土两旺，宜木以养火。土生金也，土金两旺，宜火以助土。金生水也，金水两旺，宜土以生金。木能生火，然火亦能生木也。水生木者，润地之燥也。火生木者，解天之冻
也。火能生土，然土亦能生火也。木生火者，冬木之枯也。土生火者，夏土之燥
也。土能生金，然金亦能生土也。火生土者，去地之湿也。金生土者，防土之倾
也。金能生水，然水亦能生金也。土生金者，砥水之溢也。水生金者，制火之烈
也。水能生木，然木亦能生水也。金生水者，阻其泄漏也。木生水者，去其淤塞
也。木本克土，土多木折。水生木，则木能克土。火本克金，金多火熄。木生火，则火能克金。"
425,"火本克金，金多火熄。木生火，则火能克金。土本克水，水多土荡。火生土，则土能克水。金本克木，木多金缺。土生金，则金能克木。水本克火，火多水涸。金生水，则水能克火。木克土，木太多，宜金以卫土也。火克金，火太多，宜水以养金也。土克水，水太多，宜木以纳水也。金克木，木太多，宜火以荣木也。水克火，火太多，宜土以扶火也。沂水易士注：扶火即泄火的意思。木克土也，木土两旺，宜水以润土。土克水也。水土两旺，宜火以温水。水克火也。水火两旺，宜金以熄火。火克金也。火金两旺，宜木以缺金。金克木也。金木两旺，宜土以折木。木能克土，然土亦能克木也。木克土者，春土之柔也。土克木者，夏土之燥
也。土能克水，然水亦能克土也。"
426,"土克木者，夏土之燥
也。土能克水，然水亦能克土也。土克水者，夏水之涸也。水克土者，冬水之冻
也。水能克火，然火亦能克水也。水克火者，金水寒凝也。火克水者，杯水车薪
也。火能克金，然金亦能克火也。火克金者，春火之相也。金克火者，冬火之囚
也。金能克木，然木亦能克金也。金克木者，金坚木冻也。木克金者，木盛金脆
- 78 -
也。旺者宜克。然旺之极者， 宜泄而不宜克也。所谓实则泻其子， 是以春木森
森， 宜火旺以通耀。夏火炎炎，宜土多而敛威。秋金锐锐，宜水盛以流清。冬
水洋洋，宜木众而纳势。季土叠叠，宜重金以吐秀。弱者宜生。然弱之极者，宜
克而不宜生也。所谓虚则补其母，是以秋木凋落，宜金而不宜水也。"
427,"然弱之极者，宜
克而不宜生也。所谓虚则补其母，是以秋木凋落，宜金而不宜水也。冬火熄灭，
宜水而不宜木也。仲春之土无火生反宜木也。仲秋之土无火生，反宜金也。阳之
极者，阴至也。阴之极者，阳至也。寒极则热生也，热极则寒生也。第二十五节
性情
木主仁，火主礼，金主义，水主智，土主信。八字中五行不戾，中和纯粹，
则有恻隐谦让数实之情。若偏枯混浊，太过不及，则有是非乖逆骄傲之性矣。火多无制，急躁而欠涵养。水多无制，聪颖而意志不坚，亦且好动。木多无
制，情重而仁厚。金多无制，精干而敏锐。土多无制，兹厚而好静。金命
同一金之日干，其八字，有旺相、太过、不及三类。而金多、木多、火多、
水多、土多，又各不同。"
428,"金命
同一金之日干，其八字，有旺相、太过、不及三类。而金多、木多、火多、
水多、土多，又各不同。其性情共计八类，分列如次。（一）旺相 誉高义重 体健神清 威武刚烈 临事果决
（二）太过 尚勇无谋 多欲损刚 刻薄内毒 喜淫好杀
（三）不及 思深决少 事多挫志 性虽好义 为之不终
（四）金多 刚直尚勇 见义必为 过不自知 思礼好胜
（五）木多 辨分曲直 利害兼资 置德怀念 朋友失意
（六）火多 口才辨利 好礼寡义 动止宽和 心中鄙吝
（七）水多 计虑不胜 为人无恩 临事龌龊 或是或非
（八）土多 无中有成 口俭心慈 作为暗昧 多处嫌疑
木命
同一木之日干，其八字，有旺相、太过、太及。三类。"
429,"（一）旺相 誉高义重 体健神清 威武刚烈 临事果决
（二）太过 尚勇无谋 多欲损刚 刻薄内毒 喜淫好杀
（三）不及 思深决少 事多挫志 性虽好义 为之不终
（四）金多 刚直尚勇 见义必为 过不自知 思礼好胜
（五）木多 辨分曲直 利害兼资 置德怀念 朋友失意
（六）火多 口才辨利 好礼寡义 动止宽和 心中鄙吝
（七）水多 计虑不胜 为人无恩 临事龌龊 或是或非
（八）土多 无中有成 口俭心慈 作为暗昧 多处嫌疑
木命
同一木之日干，其八字，有旺相、太过、太及。三类。而金多、木多、火多、
水多、土多，又各不同。"
430,"三类。而金多、木多、火多、
水多、土多，又各不同。其性情共计八类，分列如次：
（一）旺相 仁慈敏厚，心怀恻隐 姿致秀丽 形状慷慨
（二）太过 性拗心偏 嫉妒不仁 计虑繁乱 襟怀琐破
（三）不及 执性太柔 治事无规 胸怀不正 吝啬坚鄙
（四）金多 克制憔悴 刚而无断 动思静悔 举义不常
（五）木多 柔性泛交 曲直自循 多学不实 聪明华洁
（六）火多 驰骋聪明 好学不切 明知故犯 善决发泄
（七）水多 漂流不定 言行相违 处事不宁 趋时委曲
（八）土多 取检自信 奢而不奔 伏柔伏烈 言必鉴人
水命
同一水之日干，其八字，有旺相，太过，不及三类。而金多。木多，火多，
水多，土多又各不同。"
431,"而金多。木多，火多，
水多，土多又各不同。其性情共计八类，分列如次：
（一）旺相 智高量远 计深虑密 执性聪明 学识过人
（二）太过 是非好动 飘荡多淫 机诈诡谲 惨酷无极
（三）不及 反覆不常 胆小无略 性昏无赖 智识蔽塞
（四）金多 好义不实 志大多淫 智胜义负 赋性灵强
（五）木多 流而不止 执志反柔 临事汗漫 奢俭失中
（六）火多 崇礼贪饕 深虑多忧 猛断后悔 栗六少成
- 79 -
（七）水多 沉潜伏溺 小巧多权 苗而不秀 声闻过情
（八）土多 沉潜窒塞 内利外钝 忍而多恨 信义无决
火命
同一火之日干，其八字，有旺相、太过、不及三类。而金多、木多、火多、
水多、土多，又各不同。"
432,"其性情共计八类，分列如次：
（一）旺相 智高量远 计深虑密 执性聪明 学识过人
（二）太过 是非好动 飘荡多淫 机诈诡谲 惨酷无极
（三）不及 反覆不常 胆小无略 性昏无赖 智识蔽塞
（四）金多 好义不实 志大多淫 智胜义负 赋性灵强
（五）木多 流而不止 执志反柔 临事汗漫 奢俭失中
（六）火多 崇礼贪饕 深虑多忧 猛断后悔 栗六少成
- 79 -
（七）水多 沉潜伏溺 小巧多权 苗而不秀 声闻过情
（八）土多 沉潜窒塞 内利外钝 忍而多恨 信义无决
火命
同一火之日干，其八字，有旺相、太过、不及三类。而金多、木多、火多、
水多、土多，又各不同。其性情共计八类，分列如次。"
433,"而金多、木多、火多、
水多、土多，又各不同。其性情共计八类，分列如次。（一）旺相 性速辨明 文章明敏 好事华饰 实学欠乏
（二）太过 酷烈伤物 执性爆燥 朝欢夕泣 每多倾危
（三）不及 生性巧佞 谨畏守礼 小有辨才 大事无决
（四）金多 志不自好 胜辨而刚 礼义失中 直而招谤
（五）木多 自恃威福 聪明志懦 静则志明 好辩是非
（六）火多 崇礼义汩 明外昏内 自华而俭 不可速达
（七）水多 为德不均 巧而忘礼 多易多难 计深反害
（八）土多 立用沉密 利害敢为 言清行浊 执而不变
土命
同一土之日干，其八字，有旺相、太过、不及三类。而金多、木多、火多、
水多、土多、又各不同。"
434,"（一）旺相 性速辨明 文章明敏 好事华饰 实学欠乏
（二）太过 酷烈伤物 执性爆燥 朝欢夕泣 每多倾危
（三）不及 生性巧佞 谨畏守礼 小有辨才 大事无决
（四）金多 志不自好 胜辨而刚 礼义失中 直而招谤
（五）木多 自恃威福 聪明志懦 静则志明 好辩是非
（六）火多 崇礼义汩 明外昏内 自华而俭 不可速达
（七）水多 为德不均 巧而忘礼 多易多难 计深反害
（八）土多 立用沉密 利害敢为 言清行浊 执而不变
土命
同一土之日干，其八字，有旺相、太过、不及三类。而金多、木多、火多、
水多、土多、又各不同。其性情共计八类，分列如次。"
435,"而金多、木多、火多、
水多、土多、又各不同。其性情共计八类，分列如次。（一）旺相 笃信神佛 不爽信约 忠孝至诚 厚重可贵
（二）太过 执而不返 蔽塞不明 既愚且倔 古朴难用
（三）不及 不得众情 不通事理 狠毒乖戾 坚啬妄为
（四）金多 信而好义 刚而多躁 不能持重 处事无容
（五）木多 形劳志大 杂用狂从 用柔爽信 曲直党情
（六）火多 施义忘亲 外明少断 奢俭失中，好礼口惠
（七）水多 贪功好进 凡顺伏机 志善若昏 爱恶无义
（八）土多 重厚藏密 守信容物 或招毁谤 恩害敢为
正印为用神，仁慈端方，惟正印太多，庸碌少成。枭神为用神，精明干练，
惟枭神太多，贪吝鄙啬。"
436,"（一）旺相 笃信神佛 不爽信约 忠孝至诚 厚重可贵
（二）太过 执而不返 蔽塞不明 既愚且倔 古朴难用
（三）不及 不得众情 不通事理 狠毒乖戾 坚啬妄为
（四）金多 信而好义 刚而多躁 不能持重 处事无容
（五）木多 形劳志大 杂用狂从 用柔爽信 曲直党情
（六）火多 施义忘亲 外明少断 奢俭失中，好礼口惠
（七）水多 贪功好进 凡顺伏机 志善若昏 爱恶无义
（八）土多 重厚藏密 守信容物 或招毁谤 恩害敢为
正印为用神，仁慈端方，惟正印太多，庸碌少成。枭神为用神，精明干练，
惟枭神太多，贪吝鄙啬。正官为用神，光明正直，惟正官太多，意志不坚。"
437,"枭神为用神，精明干练，
惟枭神太多，贪吝鄙啬。正官为用神，光明正直，惟正官太多，意志不坚。七杀
为用神，豪侠好胜，惟七杀太多，萎靡不振，伤官为用神，英明锐利，惟伤官太
多；骄傲刚愎。食神为用神，温厚恭良，惟食神太多，迂腐固执，比肩为用神，
稳健和平，惟比肩太多，乖僻寡合。劫财为用神，热忱率直，为劫财太多，卤莽
紊乱。偏财为用神，敏捷奇巧， 惟偏太多，苟安耽乐。正财为用神，克勤克俭，
惟正财太多，懦弱无能。曲直格，仁厚。稼穑格，慈善，从革格，锐利。润下格，
圆活。炎上格，豪爽。从财、从杀、从儿等格，循良。从旺、从强等格，刚健。化气格，智慧。同一身强八字。有抑者，有无抑者。其性情特黠，即分为二。"
438,"有抑者，有无抑者。其性情特黠，即分为二。（一）身强八字有抑者之性情特点。天性明白，豁达大度、顺物而动，遇事能断、常欢乐、好施与，多情多义、
不畏不疑。（二）身强八字无抑者（又不成外格）之性情特黠。残暴好斗、性气无常、
不自检束、不顾危亡、当恶侮善、持强凌弱。同一身弱八字，有扶者，有无扶者。其性情特黠，即分为二。（一）身弱八字有扶者之性情特黠。生性俭约、不忘布施、深机密虑、寡合
少遇、多疑忌、拘礼节、言行相顾、仪貌整饰
（二）身弱八字无扶者（又不成外格）之性情特黠。淫邪虚为、拘缩执拗、
矜奇炫异、多非少是、萎靡怠情、作事无断。- 80 -
按推断性情，其法多端，尤非学理与经验合参，难得精确。"
439,"淫邪虚为、拘缩执拗、
矜奇炫异、多非少是、萎靡怠情、作事无断。- 80 -
按推断性情，其法多端，尤非学理与经验合参，难得精确。且有可以意会。难能言传者，乃贵乎活看，而不可拘泥也。以上所述，不过举其例耳。第二十六节
疾病
衡命论疾病宜以五行配五脏。木为肝，金为肺，水为肾，火为心，土为脾。命中木太过或不及，肝必有病。金太过或不及，肺必有病。水太过或不及，肾必
有病。火太过或不及，心必有病。土太过或不及，脾必有病。故五行贵和，和则
无疾。所谓五行和者，非生而不克，全而不缺之谓，乃贵乎泄其旺神，泄其有余
也。盖有余之旺神泄，不足之弱神受益矣。"
440,"所谓五行和者，非生而不克，全而不缺之谓，乃贵乎泄其旺神，泄其有余
也。盖有余之旺神泄，不足之弱神受益矣。若强制旺神，寡不敌众，触怒其性，
旺神不能损，弱神反受伤矣。是以旺神太过者宜泄，不太过者方宜克耳。窃以万千疾病在命中所能看到者不过其梗概耳。论命先论用神不利用神之字
即为病神（又称忌神）。所以，先识十天干及十二地支疾病所属，再以病神在于
何干何支即能知其为何种疾病矣（病神在甲为胆病之类）。"
441,"所以，先识十天干及十二地支疾病所属，再以病神在于
何干何支即能知其为何种疾病矣（病神在甲为胆病之类）。天干疾病所属
甲
乙
丙
丁
戊
己
庚
辛
壬
癸
胆
肝 小肠 心
肋
腹
肠
股
胫
足
地支疾病所属
子
丑 寅
卯
辰
巳
午
未
申
酉
戌
亥
膀胱 胞肚 胆 十指 肩
面
眼 胃脘 大肠 精血 命门
头
阴
脾 发
肝
胸
咽
头
膈
经络 小肠
腿
肾
脚 手
肋
脾
齿
脊梁
肺
肋
踝
囊
腿
尻
肩
膊
（huai 小腿）脚
（kao 屁股）
肛
肩
五行疾病所属
金
木
水
火
土
肺
肝
肾
心
脾
方位疾病所属
南方：丙丁巳午火病在上部。北方：壬癸亥子水病在下。"
442,"天干疾病所属
甲
乙
丙
丁
戊
己
庚
辛
壬
癸
胆
肝 小肠 心
肋
腹
肠
股
胫
足
地支疾病所属
子
丑 寅
卯
辰
巳
午
未
申
酉
戌
亥
膀胱 胞肚 胆 十指 肩
面
眼 胃脘 大肠 精血 命门
头
阴
脾 发
肝
胸
咽
头
膈
经络 小肠
腿
肾
脚 手
肋
脾
齿
脊梁
肺
肋
踝
囊
腿
尻
肩
膊
（huai 小腿）脚
（kao 屁股）
肛
肩
五行疾病所属
金
木
水
火
土
肺
肝
肾
心
脾
方位疾病所属
南方：丙丁巳午火病在上部。北方：壬癸亥子水病在下。东方：甲乙寅卯木病在左。西方：庚辛申酉金病在右。中方：戊己辰戌丑未土病在中部。"
443,"西方：庚辛申酉金病在右。中方：戊己辰戌丑未土病在中部。疾病之轻重
病神有力为重病。病神无力为轻病。起病之年月日生助病神为重病，起病之
年月日克泄病神为轻病。日干弱为虚症愈期较慢，日干强为实症愈期较快。一种病神为一种病，两种病神为两种病。第二十七节 事业
伤官伤尽，或有杀有刃。或杀印相生，宜武备。伤食生财，或身财两停，宜
贸迁。食神吐秀，或带文昌，宜文学。正官清粹，或官印相生，宜政治。身重财
轻，宜区程。劫比成群，宜自由职业。空拳觅利，财官并美，宜财政。财官有力，
日主朗健，可以自立为主，身旺无依，或身弱无助，只合依人作嫁。八字少冲少
- 81 -
合，事业得成专一。"
444,"财官有力，
日主朗健，可以自立为主，身旺无依，或身弱无助，只合依人作嫁。八字少冲少
- 81 -
合，事业得成专一。多冲多合，则频年变迁，栗六无成。五行需水，或命有驿马，
宜流动事业，外勤职务。五行需火或需金，宜近工厂机械等事。五行需木或需土。则宜农林种植，固定实业。五行偏枯之命，所事多风波起落，亦有此业利而彼业
不利者，五行停匀之命，大抵事业平稳，比比皆然。八字病重药轻。作事多出自动，而费力不讨好。八字病药相济，事多出于被
动，且遭受成而省力。按事业之推断，其法不一。以上所述，举其例端而巳已。更有性情环境之种
种关系，不可拘泥片理由，乃贵乎活看。殆亦晓然胸中，而难以形容者也。"
445,"更有性情环境之种
种关系，不可拘泥片理由，乃贵乎活看。殆亦晓然胸中，而难以形容者也。论命看事业应基于下述四种方法。（一）用神：
1、用神为伤官者。宜从事书画、雕刻、音乐、伶人------偏于艺术方面之职
业。2、用神为印授者。宜从事文学、教育、设计、秘书、药剂师、西药房-------
方面之事业。3、用神为比劫者。宜从事医师、律师、会计师、传教士、命相家------等、
偏向自由职业。4、用神为正官者。宜从事政治、法律、警界、法官、侦探、报社记者、政
府公职----等与政界有关之职业。5、用神为财星者。宜从事商场、金融财政与商务有关之职业。6、用神为七杀者。"
446,"宜从事商场、金融财政与商务有关之职业。6、用神为七杀者。宜从事军事、外科医生、职业运动员，或开矿------等属
于严格刻板之职业。（二）喜用：用神与喜神并顺也。例如伤食吐秀或带文昌宜文学、书画、雕
刻等。杀印相生宜军事和外科医生。官印相生或正官清粹宜政治法律。伤食遇财
宜商务、金融、财政，伤官伤尽宜或有杀有刃宜武备。伤食生财或身财两厅宜贸
易。食神吐秀或带文昌宜文学。正官清粹或官印相生宜政治。身旺财轻宜工程。劫比成群宜自由职业。空拳觅利财官并美宜财政。财官有力日主朗健可以自立为
主。身旺无依或身弱无助只合以人作嫁。八字少冲少合事业得成专一。多冲多合
则频年变迁，栗六少成。"
447,"八字少冲少合事业得成专一。多冲多合
则频年变迁，栗六少成。多刑冲宜外向之工作，多会合宜内向之工作。（三）性情：孤介者不宜为宦，以工商事业或如医师、律师、会计师教师等
自由职业。刚强者宜职业军人或警务或职业运动员。憍（jiao）弱者宜农工百艺。（四）五行：喜金水者五金器材、金融事业、制冰、冷藏、鱼捞、航海是也。喜土金者宜金矿、铁矿、石矿是也。事业之属于五行者，多矣！职业分类
属木性职业。书店，出版社、特殊动植物生长界之学者、植物栽植试验界木材、木器、木
制品、家具、装潢木成品。纸界、竹界、种植界、花界、树苗界、青果商、草界、
药物界（中药）
、医疗界、布匹买卖界、敬神物品或香料界。属火性职业。"
448,"纸界、竹界、种植界、花界、树苗界、青果商、草界、
药物界（中药）
、医疗界、布匹买卖界、敬神物品或香料界。属火性职业。热度性质、火爆性质、光线性质、易燃烧性质。放光、照光、照明、光学、高热、液热、易燃烧物或油界类、热饮食界、食
品界、工厂。属土性职业。- 82 -
土产或地产性质、农作性质、畜牧性质、大自然原物性质、防水事业均属之。农人或土壤研究者、售现成菜类、畜牧兽类、（如牧牛羊或养鸡猪-----等）、
大自然原物售卖界【即石、石灰、土地（包括山地）、水泥-----】。建筑界、房地
物业买卖、房屋买卖业。"
449,"农人或土壤研究者、售现成菜类、畜牧兽类、（如牧牛羊或养鸡猪-----等）、
大自然原物售卖界【即石、石灰、土地（包括山地）、水泥-----】。建筑界、房地
物业买卖、房屋买卖业。土是制水之物故而防水事业（雨衣、雨伞、雨帆、筑堤
防------溶水物器------等）亦是。又使人讨厌的事业（殡仪馆、墓碑店、丧事办所、
筑墓业、墓地管理------等）。属金性职业。粗铁材或金属工具等方面之买卖商、五金商、挖掘发掘业、开
矿业、汽车业、交通业、金融业等。属水性职业。事业、旅游业、奔波性质、流动性质、连续运动性质、易变化性质、水属性
值、清洁性质、冷温具、不然性质化学界、靠入海求生活着皆属之。"
450,"属水性职业。事业、旅游业、奔波性质、流动性质、连续运动性质、易变化性质、水属性
值、清洁性质、冷温具、不然性质化学界、靠入海求生活着皆属之。航海界（船只是也）、冷温不然液体、冰水界、鱼类界、水产界、水利界、
水务界、冷藏界、冷凉界、打水界、洁洗业、扫除也、流水界、港内界、游泳界、
湖、池塘、浴池、菜市场内售卖冷食物（鱼---肉---豆腐）均属之。旅行社、导游也、采访记者、侦探、旅舍或灭火器具、钓鱼器具均属之。混合类职业。修理钟表，钟表虽属金为金属但重点在于“修理”并非卖铁器故修理钟表属
于火之业。烧砖烧瓦及瓷器界烧不离火故属火。瓷、瓦、砖原料为土故为兼土之业。"
451,"烧砖烧瓦及瓷器界烧不离火故属火。瓷、瓦、砖原料为土故为兼土之业。雕刻师完全以雕刻为重点应属火业，如刻木质印章的技术是在“卖技术工钱”
而非再买木材故雕刻业属火而兼微木了。杂货业具备各种五行因售卖现成品多是属土又因食品属火故为双兼火土之
业。事业、建筑事业。建筑用水泥而属土但必须大量钢筋做支撑，铁器属金故为
土金双兼之事业。歌唱明星歌者属水而以“人”表演给“人”欣赏属火故为水火双兼之事业。水果业水为水，果为木此为水木双兼之事业。【注】如任职为公司服务者因非本身个人事业不受五行之限制。第二十八节
妻财
财即是妻，可以通论。然有富而妻陋，或妻贤而贫者，何也？"
452,"第二十八节
妻财
财即是妻，可以通论。然有富而妻陋，或妻贤而贫者，何也？盖或财得用，
而日支为忌神，或财不足，而日支为喜神。妻星与妻宫，难以两全其美耳。第二十九节
评断篇
评断之程序
每一命局，或五行错综，或六神纷杂，评断而无规定程序，极难入手。兹议
为八步如后。（一）看强弱。（二）定格局。（三）取用神。（四）论喜忌。（五）查岁运。（六）推六亲。（七）评性情。- 83 -
（八）断事业。评断之标准
（一）看强弱以日干为主。以多寡、盛衰、失时、得令、为标准。（二）定格局，以月支为标准（外格不在此例）。（三）取用神，以助强扶弱为标准。（四）论喜忌，以用神为标准。（五）查岁运，以喜忌为标准。"
